Gene1,Gene2,Score
cbfb,dok2,844.0
cbfb,jpt1,711.0
cbfb,plin3,553.0
cbfb,slc9a9,962.0
cbfb,tspan13,669.0
cbfb,dusp5,783.0
cbfb,kctd12,652.0
cbfb,bcl2,678.0
cbfb,ncapd2,668.0
cbfb,rnf38,711.0
cbfb,cks1b,981.0
cbfb,p2ry14,801.0
cbfb,def8,914.0
cbfb,ubash3a,815.0
cbfb,arpp21,970.0
cbfb,tpm4,1390.0
cbfb,capg,961.0
cbfb,pstpip1,932.0
cbfb,tspan3,798.0
cbfb,panx1,729.0
cbfb,p2rx1,1010.0
cbfb,dck,574.0
cbfb,cst7,831.0
cbfb,ctsl,683.0
cbfb,lax1,763.0
cbfb,abhd17b,1123.0
cbfb,nlrc3,907.0
cbfb,slc43a2,490.0
cbfb,cd69,726.0
cbfb,gas2l3,504.0
cbfb,cish,576.0
cbfb,dtl,692.0
cbfb,selplg,484.0
cbfb,anxa5,943.0
cbfb,lars2,653.0
cbfb,plcl1,887.0
cbfb,nwd1,741.0
cbfb,serpinb6a,804.0
cbfb,lrrc8c,581.0
cbfb,il17re,734.0
cbfb,stk10,453.0
cbfb,rnf125,1111.0
cbfb,snap47,536.0
cbfb,gpr18,856.0
cbfb,zfp367,637.0
cbfb,me2,801.0
cbfb,rassf2,639.0
cbfb,slc18a2,369.0
cbfb,lgmn,581.0
cbfb,fdft1,643.0
cbfb,clec12a,691.0
cbfb,trpv2,749.0
cbfb,pygl,678.0
cbfb,npm1,770.0
cbfb,cd7,765.0
cbfb,cdt1,601.0
cbfb,art4,570.0
cbfb,nucb2,694.0
cbfb,prss57,625.0
cbfb,ctsb,468.0
cbfb,fcho2,553.0
cbfb,coq8a,491.0
cbfb,cdk19,474.0
cbfb,rnf13,479.0
cbfb,hnrnpab,686.0
cbfb,uhrf1,837.0
cbfb,rcsd1,963.0
cbfb,frmd6,705.0
cbfb,gm2a,645.0
cbfb,ucp2,380.0
cbfb,rel,513.0
cbfb,gstm1,471.0
cbfb,evi2a,712.0
cbfb,cyfip2,574.0
cbfb,ldhb,638.0
cbfb,mcm5,607.0
cbfb,mycn,555.0
cbfb,lactb,463.0
cbfb,aplp2,452.0
cbfb,cd44,506.0
cbfb,znrf2,473.0
cbfb,camk1d,458.0
cbfb,gng2,596.0
cbfb,stard4,341.0
cbfb,slc39a6,460.0
cbfb,ndrg2,678.0
cbfb,rhof,462.0
cbfb,dusp6,553.0
cbfb,hmgb2,548.0
cbfb,il7r,492.0
cbfb,mki67,700.0
cbfb,atpif1,433.0
cbfb,nrros,487.0
cbfb,uba7,404.0
cbfb,uap1l1,416.0
cbfb,cbx7,616.0
cbfb,gaa,649.0
cbfb,fads1,623.0
cbfb,vamp5,541.0
cbfb,erp29,408.0
cbfb,ptp4a3,403.0
cbfb,cct2,446.0
cbfb,mllt3,439.0
cbfb,kazald1,318.0
cbfb,rpl41,440.0
cbfb,lsp1,450.0
cbfb,anxa2,344.0
cbfb,rgs2,533.0
cbfb,gbp9,509.0
cbfb,slc16a10,418.0
cbfb,eepd1,561.0
cbfb,rgs19,637.0
cbfb,nudt19,605.0
cbfb,ampd2,369.0
cbfb,irak3,434.0
cbfb,spc24,668.0
cbfb,rora,492.0
cbfb,plxdc2,365.0
cbfb,samsn1,557.0
cbfb,cd48,504.0
cbfb,creg1,284.0
cbfb,myo5a,510.0
cbfb,trim59,380.0
cbfb,cd55,315.0
cbfb,tnfaip2,491.0
cbfb,abcg3,578.0
cbfb,txnip,468.0
cbfb,top2a,614.0
cbfb,itpr2,437.0
cbfb,tmem173,462.0
cbfb,rftn1,531.0
cbfb,slc18a1,390.0
cbfb,card11,640.0
cbfb,pdcd4,345.0
cbfb,bpifc,485.0
cbfb,ybx1,500.0
cbfb,parvg,513.0
cbfb,sytl1,439.0
cbfb,cpq,450.0
cbfb,fut8,304.0
cbfb,slco3a1,543.0
cbfb,emp1,845.0
cbfb,dennd2d,301.0
cbfb,tmem206,438.0
cbfb,slc44a2,485.0
cbfb,cfp,727.0
cbfb,btg2,620.0
cbfb,tmem14c,553.0
cbfb,rasip1,591.0
cbfb,arhgap27,536.0
cbfb,msmo1,475.0
cbfb,gsn,474.0
cbfb,gimap5,426.0
cbfb,chil5,463.0
cbfb,pag1,355.0
cbfb,nckap1,306.0
cbfb,tipin,442.0
cbfb,n4bp3,338.0
cbfb,arhgap18,354.0
cbfb,zmiz1,309.0
cbfb,tbc1d5,395.0
cbfb,ell2,308.0
cbfb,gmnn,490.0
cbfb,h2-dma,361.0
cbfb,rras,347.0
cbfb,sgms1,257.0
cbfb,cers4,308.0
cbfb,maml3,326.0
cbfb,epsti1,402.0
cbfb,ltb,350.0
cbfb,gpx1,348.0
cbfb,plxnc1,390.0
cbfb,rag2,364.0
cbfb,pgrmc1,403.0
cbfb,ces2g,455.0
cbfb,ppp1r15a,330.0
cbfb,man1a,332.0
cbfb,parp8,588.0
cbfb,syk,404.0
cbfb,cnn3,365.0
cbfb,mpl,469.0
cbfb,dock11,332.0
cbfb,klf3,328.0
cbfb,cd27,417.0
cbfb,ankrd44,501.0
cbfb,klf6,343.0
cbfb,itgb7,334.0
cbfb,mpo,465.0
cbfb,sla,443.0
cbfb,mettl7a1,381.0
cbfb,flt3,448.0
cbfb,adssl1,293.0
cbfb,tmem176b,567.0
cbfb,rusc2,380.0
cbfb,gfi1b,401.0
cbfb,tm6sf1,401.0
cbfb,itga6,392.0
cbfb,cd81,449.0
cbfb,socs2,358.0
cbfb,hlf,260.0
cbfb,pf4,424.0
cbfb,ikzf1,304.0
cbfb,sat1,515.0
cbfb,taldo1,408.0
cbfb,selenop,359.0
cbfb,gimap8,377.0
cbfb,sp100,367.0
cbfb,trib3,409.0
cbfb,ifi27,287.0
cbfb,s100a6,409.0
cbfb,rhoh,230.0
cbfb,slc25a5,342.0
cbfb,il18rap,252.0
cbfb,nhp2,401.0
cbfb,usp11,332.0
cbfb,gimap1,334.0
cbfb,ctsw,286.0
cbfb,unc93b1,198.0
cbfb,tmem268,367.0
cbfb,akna,279.0
cbfb,slc29a1,451.0
cbfb,car2,234.0
cbfb,clu,328.0
cbfb,foxo1,297.0
cbfb,runx2,244.0
cbfb,notch1,285.0
cbfb,coro1a,266.0
cbfb,tapt1,303.0
cbfb,slfn2,286.0
cbfb,ldhd,290.0
cbfb,plekhb1,401.0
cbfb,chrnb1,225.0
cbfb,mctp2,312.0
cbfb,ctnnal1,251.0
cbfb,fut7,377.0
cbfb,stxbp1,257.0
cbfb,irf6,240.0
cbfb,pde1b,322.0
cbfb,ccr9,255.0
cbfb,sell,310.0
cbfb,ube2l6,265.0
cbfb,ccdc112,280.0
cbfb,golm1,262.0
cbfb,plscr4,274.0
cbfb,hacd4,450.0
cbfb,prnp,272.0
cbfb,fam171a1,332.0
cbfb,gpc1,249.0
cbfb,gp9,336.0
cbfb,igfbp4,378.0
cbfb,arhgef39,285.0
cbfb,otub2,160.0
cbfb,lag3,383.0
cbfb,cttn,226.0
cbfb,tmsb4x,227.0
cbfb,slamf1,281.0
cbfb,hid1,301.0
cbfb,clec2i,252.0
cbfb,plk2,250.0
cbfb,plxna1,228.0
cbfb,klhl4,289.0
cbfb,kcnk5,169.0
cbfb,fuca2,245.0
cbfb,uqcr11,189.0
cbfb,esr1,279.0
cbfb,arhgap29,194.0
cbfb,tspan2,207.0
cbfb,trim16,131.0
cbfb,amigo2,271.0
cbfb,cox6a1,219.0
cbfb,rab27b,286.0
cbfb,angpt1,210.0
cbfb,abcg2,277.0
cbfb,csgalnact1,219.0
cbfb,pola2,195.0
cbfb,arrdc4,254.0
cbfb,fgfr3,211.0
cbfb,emb,149.0
cbfb,vav3,224.0
cbfb,nsmf,308.0
cbfb,gramd1a,130.0
cbfb,dpp4,223.0
cbfb,lyn,141.0
cbfb,kit,163.0
cbfb,ramp1,211.0
cbfb,pear1,205.0
cbfb,runx1t1,362.0
cbfb,gbp2,199.0
cbfb,h1f0,218.0
cbfb,itgam,188.0
cbfb,cdk6,127.0
cbfb,rasa4,176.0
cbfb,nkg7,238.0
cbfb,gimap4,188.0
cbfb,enpp5,198.0
cbfb,prps2,203.0
cbfb,clca3a1,167.0
cbfb,tyrobp,127.0
cbfb,wls,175.0
cbfb,rp2,137.0
cbfb,haao,326.0
cbfb,il17ra,187.0
cbfb,napsa,179.0
cbfb,inhba,243.0
cbfb,ttc39b,123.0
cbfb,smpdl3a,190.0
cbfb,kbtbd11,191.0
cbfb,atp1a3,300.0
cbfb,ggta1,177.0
cbfb,coro7,161.0
cbfb,ipcef1,160.0
cbfb,d630039a03rik,157.0
cbfb,cpxm1,183.0
cbfb,cd33,275.0
cbfb,rnf213,173.0
cbfb,myc,144.0
cbfb,apoe,138.0
cbfb,kif17,262.0
cbfb,prim1,260.0
cbfb,ptger2,173.0
cbfb,crip1,149.0
cbfb,tlr7,148.0
cbfb,ifi213,132.0
cbfb,npdc1,163.0
cbfb,sstr2,128.0
cbfb,cd38,226.0
cbfb,fcrl1,223.0
cbfb,vdr,119.0
cbfb,tmem246,126.0
cbfb,fam171b,110.0
cbfb,arl11,206.0
cbfb,ppic,204.0
cbfb,cd53,203.0
cbfb,neurl3,193.0
cbfb,lgals1,189.0
cbfb,rarb,188.0
cbfb,arhgef28,187.0
cbfb,scrn1,181.0
cbfb,scarf1,179.0
cbfb,ctsg,174.0
cbfb,pkia,171.0
cbfb,mylk,171.0
cbfb,fam110c,167.0
cbfb,nupr1,164.0
cbfb,eng,164.0
cbfb,prune2,162.0
cbfb,depp1,159.0
cbfb,ccl3,159.0
cbfb,spi1,156.0
cbfb,fgd2,152.0
cbfb,sh2d5,151.0
cbfb,ptgs1,150.0
cbfb,hsd3b7,149.0
cbfb,gng11,144.0
cbfb,afdn,144.0
cbfb,bdh2,143.0
cbfb,traf1,140.0
cbfb,meis1,134.0
cbfb,il12a,134.0
cbfb,pecam1,131.0
cbfb,maged2,131.0
cbfb,klrd1,126.0
cbfb,paqr5,124.0
cbfb,myct1,124.0
cbfb,plek,121.0
cbfb,cd9,121.0
cbfb,irf8,120.0
cbfb,ifi209,119.0
cbfb,zfp37,118.0
cbfb,cx3cl1,118.0
cbfb,itgb5,111.0
cbfb,gda,110.0
cbfb,flna,108.0
cbfb,rnase6,107.0
cbfb,pdgfrb,104.0
cbfb,fgd5,101.0
cbfb,app,101.0
cbx7,ndnf,959.0
cbx7,dock10,1006.0
cbx7,obscn,917.0
cbx7,mecom,1074.0
cbx7,runx1t1,956.0
cbx7,sox18,874.0
cbx7,cdkn1c,713.0
cbx7,prkch,942.0
cbx7,maml3,796.0
cbx7,shisa9,805.0
cbx7,plxnc1,802.0
cbx7,csgalnact1,1189.0
cbx7,satb1,842.0
cbx7,eya2,995.0
cbx7,dach1,899.0
cbx7,flt3,927.0
cbx7,slco3a1,1032.0
cbx7,fgfr3,709.0
cbx7,sfrp1,906.0
cbx7,kbtbd11,842.0
cbx7,sstr2,889.0
cbx7,nav1,884.0
cbx7,cadps2,907.0
cbx7,fam110c,961.0
cbx7,ankrd33b,796.0
cbx7,nfia,676.0
cbx7,pag1,882.0
cbx7,kctd12,855.0
cbx7,arpp21,812.0
cbx7,slc35d3,637.0
cbx7,lyn,902.0
cbx7,vav3,840.0
cbx7,bcl2,954.0
cbx7,h2-q6,856.0
cbx7,sema3d,862.0
cbx7,tm6sf1,908.0
cbx7,parp8,777.0
cbx7,app,839.0
cbx7,col4a2,627.0
cbx7,col4a1,627.0
cbx7,vldlr,660.0
cbx7,pgr,674.0
cbx7,rftn1,740.0
cbx7,chst2,701.0
cbx7,plcl1,691.0
cbx7,igfbp4,731.0
cbx7,ikzf1,679.0
cbx7,trim47,661.0
cbx7,rassf2,719.0
cbx7,itpr2,714.0
cbx7,mef2c,747.0
cbx7,zmiz1,553.0
cbx7,trpc6,760.0
cbx7,slc16a2,729.0
cbx7,dhrs3,697.0
cbx7,rcsd1,681.0
cbx7,man1a,761.0
cbx7,rora,683.0
cbx7,tsc22d3,589.0
cbx7,mllt3,669.0
cbx7,hlf,695.0
cbx7,camk1d,700.0
cbx7,spns2,674.0
cbx7,slc22a3,641.0
cbx7,rel,624.0
cbx7,rnf213,548.0
cbx7,obsl1,593.0
cbx7,rhoj,705.0
cbx7,wls,584.0
cbx7,gda,549.0
cbx7,hdac7,552.0
cbx7,rusc2,695.0
cbx7,slc18a2,596.0
cbx7,st8sia4,503.0
cbx7,ctnnd2,550.0
cbx7,pde1b,599.0
cbx7,cdk6,594.0
cbx7,ndn,599.0
cbx7,pear1,537.0
cbx7,ssh2,539.0
cbx7,runx2,398.0
cbx7,mn1,420.0
cbx7,hck,645.0
cbx7,arhgap29,591.0
cbx7,kazald1,433.0
cbx7,ctsh,451.0
cbx7,aff3,536.0
cbx7,ptpre,548.0
cbx7,nr3c2,771.0
cbx7,ocln,523.0
cbx7,irf8,639.0
cbx7,ankrd44,592.0
cbx7,amigo2,480.0
cbx7,fgd5,520.0
cbx7,mpdz,604.0
cbx7,dpp4,623.0
cbx7,slc16a11,478.0
cbx7,pdgfc,533.0
cbx7,rarb,593.0
cbx7,kit,699.0
cbx7,vdr,427.0
cbx7,notch1,520.0
cbx7,clec14a,575.0
cbx7,cpne8,414.0
cbx7,plk2,431.0
cbx7,plscr4,558.0
cbx7,ptger2,454.0
cbx7,prdm16,269.0
cbx7,tspan2,496.0
cbx7,cx3cl1,529.0
cbx7,adssl1,409.0
cbx7,plekhg6,342.0
cbx7,igf1,422.0
cbx7,arhgef28,426.0
cbx7,rgs2,320.0
cbx7,pkib,371.0
cbx7,gsn,471.0
cbx7,lpcat2,474.0
cbx7,inhba,543.0
cbx7,stk10,317.0
cbx7,cd44,387.0
cbx7,cav2,533.0
cbx7,rab38,480.0
cbx7,tnfaip2,314.0
cbx7,gpc1,257.0
cbx7,ghr,285.0
cbx7,eepd1,419.0
cbx7,txnip,262.0
cbx7,lrrc8c,403.0
cbx7,angpt1,294.0
cbx7,vegfc,400.0
cbx7,gucy1a1,348.0
cbx7,meis1,202.0
cbx7,otulinl,325.0
cbx7,plppr3,279.0
cbx7,anxa5,297.0
cbx7,insrr,211.0
cbx7,arid5a,343.0
cbx7,sh2d5,304.0
cbx7,prune2,397.0
cbx7,anxa2,371.0
cbx7,irak3,414.0
cbx7,cd34,271.0
cbx7,dusp5,257.0
cbx7,fstl1,447.0
cbx7,ddx4,295.0
cbx7,f2r,385.0
cbx7,zfp422,295.0
cbx7,ccdc136,455.0
cbx7,upp1,335.0
cbx7,pbx1,367.0
cbx7,myc,165.0
cbx7,pde1c,309.0
cbx7,atp1a3,249.0
cbx7,ppic,169.0
cbx7,sgms1,192.0
cbx7,ptgs1,184.0
cbx7,zyx,211.0
cbx7,plxdc2,261.0
cbx7,ica1,328.0
cbx7,smpdl3a,216.0
cbx7,slc16a10,227.0
cbx7,vamp5,155.0
cbx7,tmem37,222.0
cbx7,jam2,307.0
cbx7,gata2,103.0
cbx7,slc6a15,352.0
cbx7,tes,460.0
cbx7,krt18,191.0
cbx7,plxna1,184.0
cbx7,panx1,316.0
cbx7,ggta1,253.0
cbx7,paqr5,195.0
cbx7,il17ra,112.0
cbx7,rab27b,285.0
cbx7,scrn1,374.0
cbx7,sdc1,190.0
cbx7,adamtsl5,192.0
cbx7,nrros,226.0
cbx7,stxbp1,233.0
cbx7,unc93b1,124.0
cbx7,il1r1,213.0
cbx7,creg1,204.0
cbx7,nceh1,180.0
cbx7,cd63,131.0
cbx7,d630039a03rik,210.0
cbx7,tmem246,188.0
cbx7,dennd2d,144.0
cbx7,sdc2,265.0
cbx7,ramp1,173.0
cbx7,fam171a1,195.0
cbx7,ldhb,251.0
cbx7,car2,143.0
cbx7,fads1,237.0
cbx7,jam3,151.0
cbx7,pygl,228.0
cbx7,npm1,109.0
cbx7,h2afy,214.0
cbx7,prps2,143.0
cbx7,tbc1d5,206.0
cbx7,syk,194.0
cbx7,fam171b,103.0
cbx7,dock11,190.0
cbx7,xrcc6,177.0
cbx7,pkia,176.0
cbx7,itgb5,175.0
cbx7,irf6,173.0
cbx7,chrnb1,170.0
cbx7,cdk18,169.0
cbx7,rab40b,164.0
cbx7,tmsb4x,161.0
cbx7,rasa4,150.0
cbx7,ptp4a3,148.0
cbx7,frmd6,148.0
cbx7,serp1,144.0
cbx7,slc39a13,143.0
cbx7,h1f0,140.0
cbx7,ctsl,139.0
cbx7,tpm4,137.0
cbx7,cpxm1,136.0
cbx7,hid1,134.0
cbx7,ccdc112,134.0
cbx7,snap23,132.0
cbx7,me2,130.0
cbx7,slc18a1,126.0
cbx7,ndrg2,124.0
cbx7,elf1,124.0
cbx7,rasip1,123.0
cbx7,arrdc4,123.0
cbx7,slc26a11,120.0
cbx7,xpc,115.0
cbx7,tipin,115.0
cbx7,kif17,114.0
cbx7,jpt1,114.0
cbx7,siglecg,112.0
cbx7,procr,112.0
cbx7,hspe1,110.0
cbx7,zfp612,108.0
cbx7,gaa,106.0
cbx7,dusp1,106.0
cbx7,fhl1,105.0
cbx7,fdft1,103.0
cbx7,coq8a,103.0
cbx7,cipc,103.0
cbx7,msmo1,102.0
cbx7,fcho2,102.0
cbx7,coro7,101.0
elf1,rnf38,2456.0
elf1,ranbp1,2126.0
elf1,rps27l,2407.0
elf1,mogs,2142.0
elf1,serpinb6a,1804.0
elf1,lonp2,1794.0
elf1,ap1s2,2224.0
elf1,itsn1,1885.0
elf1,meis1,2711.0
elf1,mcm7,1774.0
elf1,nceh1,1600.0
elf1,atp1a3,2503.0
elf1,prkch,1289.0
elf1,nt5c3,1044.0
elf1,ampd2,1550.0
elf1,txnip,1356.0
elf1,serp1,1165.0
elf1,ppm1g,1050.0
elf1,znrf2,1058.0
elf1,panx1,1182.0
elf1,uqcr11,1185.0
elf1,ifi27,939.0
elf1,slc39a13,968.0
elf1,plin3,862.0
elf1,lyn,1768.0
elf1,nhp2,1108.0
elf1,cd48,1241.0
elf1,fuca2,1343.0
elf1,cdk19,795.0
elf1,ccl9,1607.0
elf1,cct2,869.0
elf1,sat1,821.0
elf1,ctr9,937.0
elf1,tm6sf1,787.0
elf1,hspe1,1058.0
elf1,mcm4,1019.0
elf1,zfp658,617.0
elf1,itgb2,639.0
elf1,arhgef39,1028.0
elf1,ly9,845.0
elf1,slfn2,1049.0
elf1,me2,901.0
elf1,ppp1r15a,835.0
elf1,zfp62,943.0
elf1,ankrd44,628.0
elf1,cox6a1,721.0
elf1,dock10,619.0
elf1,tmem14c,814.0
elf1,tespa1,625.0
elf1,cks1b,706.0
elf1,hsd3b7,1117.0
elf1,laptm5,751.0
elf1,atp8b4,1054.0
elf1,abhd17b,728.0
elf1,tmem206,474.0
elf1,rnf13,744.0
elf1,rel,516.0
elf1,hnrnpab,560.0
elf1,tbc1d5,850.0
elf1,rasal3,437.0
elf1,arhgap15,414.0
elf1,ifi209,437.0
elf1,mgat1,653.0
elf1,dusp5,539.0
elf1,naip6,904.0
elf1,samsn1,485.0
elf1,gpx1,568.0
elf1,gimap8,501.0
elf1,ikzf1,418.0
elf1,rgs19,404.0
elf1,tes,339.0
elf1,xdh,808.0
elf1,card6,391.0
elf1,vamp1,456.0
elf1,cdk18,774.0
elf1,cbfb,574.0
elf1,ppcdc,610.0
elf1,prps2,423.0
elf1,arhgap27,511.0
elf1,pkn3,692.0
elf1,slc39a6,459.0
elf1,gpr18,438.0
elf1,ccng2,525.0
elf1,gstm1,663.0
elf1,ncapd2,428.0
elf1,rpl41,484.0
elf1,il7r,391.0
elf1,xrcc6,368.0
elf1,ifi213,434.0
elf1,xpc,329.0
elf1,akna,374.0
elf1,mki67,616.0
elf1,gpr65,427.0
elf1,tmem173,222.0
elf1,ssh2,261.0
elf1,ybx1,459.0
elf1,efna1,587.0
elf1,tubb4b,410.0
elf1,slc43a2,382.0
elf1,spi1,561.0
elf1,arl11,554.0
elf1,pirb,546.0
elf1,arhgap18,535.0
elf1,acap1,396.0
elf1,cdt1,513.0
elf1,lax1,357.0
elf1,jpt1,258.0
elf1,uhrf1,271.0
elf1,tmem123,251.0
elf1,kctd12,487.0
elf1,pafah2,381.0
elf1,cmah,484.0
elf1,gimap1,384.0
elf1,slc26a11,450.0
elf1,fdft1,317.0
elf1,parp8,449.0
elf1,h2-dma,293.0
elf1,ebi3,444.0
elf1,vav3,339.0
elf1,tyrobp,441.0
elf1,gmnn,305.0
elf1,slc44a2,291.0
elf1,tfec,425.0
elf1,rhoh,181.0
elf1,gas2l3,422.0
elf1,ccl3,420.0
elf1,slbp,414.0
elf1,lsp1,206.0
elf1,cbx7,399.0
elf1,nrros,221.0
elf1,icos,205.0
elf1,taldo1,377.0
elf1,sp100,196.0
elf1,pf4,373.0
elf1,tbxa2r,372.0
elf1,osgin1,363.0
elf1,ctss,125.0
elf1,nucb2,360.0
elf1,tmsb4x,182.0
elf1,rras,355.0
elf1,nlrc3,215.0
elf1,unc93b1,344.0
elf1,syk,341.0
elf1,fut7,227.0
elf1,cox7b,339.0
elf1,ccr7,338.0
elf1,usp11,329.0
elf1,btla,162.0
elf1,arhgdib,180.0
elf1,slc25a5,309.0
elf1,neurl3,304.0
elf1,ctsb,301.0
elf1,gbp4,300.0
elf1,ucp2,294.0
elf1,pstpip1,158.0
elf1,gng2,287.0
elf1,dok2,186.0
elf1,uba7,284.0
elf1,rnf213,279.0
elf1,itgal,273.0
elf1,eya2,268.0
elf1,pld4,264.0
elf1,cd69,134.0
elf1,itga6,259.0
elf1,elovl5,257.0
elf1,ndrg2,251.0
elf1,trim47,246.0
elf1,ipcef1,245.0
elf1,lck,234.0
elf1,ptpre,138.0
elf1,cd244a,232.0
elf1,klf6,230.0
elf1,mcm5,225.0
elf1,itpr2,130.0
elf1,nwd1,223.0
elf1,p2ry14,222.0
elf1,gsn,112.0
elf1,selplg,213.0
elf1,wfdc17,211.0
elf1,fgd2,207.0
elf1,zfp367,206.0
elf1,vamp5,206.0
elf1,gramd1a,198.0
elf1,il17ra,196.0
elf1,man1a,194.0
elf1,gm1966,190.0
elf1,h1f0,188.0
elf1,fut8,186.0
elf1,cyfip2,185.0
elf1,capg,184.0
elf1,hacd4,183.0
elf1,npm1,179.0
elf1,camsap2,179.0
elf1,ltb,176.0
elf1,dock11,176.0
elf1,dennd2d,175.0
elf1,fcrl1,174.0
elf1,slco3a1,171.0
elf1,plcl1,171.0
elf1,coro1a,170.0
elf1,kazald1,163.0
elf1,camk1d,162.0
elf1,anxa5,162.0
elf1,cd33,160.0
elf1,cish,159.0
elf1,dusp6,158.0
elf1,nudt19,155.0
elf1,pear1,154.0
elf1,lrrc8c,148.0
elf1,gpr171,148.0
elf1,spns3,146.0
elf1,ctsh,146.0
elf1,eng,142.0
elf1,atpif1,142.0
elf1,cst7,139.0
elf1,slamf1,137.0
elf1,slc9a9,136.0
elf1,stard4,134.0
elf1,parvg,133.0
elf1,frmd6,126.0
elf1,cd53,124.0
elf1,dtl,122.0
elf1,cfp,122.0
elf1,cipc,115.0
elf1,oas2,113.0
elf1,arpp21,113.0
elf1,stk10,111.0
elf1,ubash3a,108.0
elf1,pola2,103.0
elf1,runx2,226.0
esr1,ggt5,1934.0
esr1,plscr4,1981.0
esr1,tnfaip2,1765.0
esr1,irak3,2467.0
esr1,coro7,2386.0
esr1,klf3,1964.0
esr1,slc39a13,2352.0
esr1,trim16,2361.0
esr1,rel,2427.0
esr1,tmem246,1581.0
esr1,bpifc,2192.0
esr1,pafah2,1138.0
esr1,itpr2,1932.0
esr1,cdk17,1582.0
esr1,ccng2,1117.0
esr1,lonp2,1922.0
esr1,fuca2,1852.0
esr1,elf1,1877.0
esr1,ttc39b,1097.0
esr1,uba7,869.0
esr1,lars2,1310.0
esr1,slc43a2,1719.0
esr1,ctsb,2340.0
esr1,tns2,1493.0
esr1,cipc,866.0
esr1,gsn,1622.0
esr1,dusp5,1686.0
esr1,anxa5,1365.0
esr1,rnf13,1702.0
esr1,pbx1,1097.0
esr1,ndrg2,1131.0
esr1,fam110c,1751.0
esr1,dusp1,910.0
esr1,ranbp1,916.0
esr1,hdac7,587.0
esr1,znrf2,748.0
esr1,ctsh,1345.0
esr1,trim47,1733.0
esr1,hmgb2,1115.0
esr1,d630039a03rik,1030.0
esr1,pear1,1734.0
esr1,xrcc6,884.0
esr1,dtl,764.0
esr1,rusc2,1238.0
esr1,slbp,977.0
esr1,coq8a,1316.0
esr1,sgms1,1151.0
esr1,pdcd4,638.0
esr1,cnn3,1155.0
esr1,mlph,1664.0
esr1,tmem37,1657.0
esr1,vamp1,905.0
esr1,zyx,895.0
esr1,slc29a1,1426.0
esr1,zbtb20,1686.0
esr1,ppp1r15a,1147.0
esr1,rgs2,1825.0
esr1,tmem206,823.0
esr1,plk2,1102.0
esr1,p2ry14,1319.0
esr1,h2-q6,1527.0
esr1,c1rl,569.0
esr1,txnip,776.0
esr1,gaa,675.0
esr1,slc39a6,1006.0
esr1,dhrs3,1725.0
esr1,arhgap29,1578.0
esr1,kctd12,1253.0
esr1,lgals1,660.0
esr1,uqcr11,874.0
esr1,fcgrt,603.0
esr1,xpc,683.0
esr1,def8,869.0
esr1,ctsf,1926.0
esr1,tmem268,1293.0
esr1,serpinf1,1015.0
esr1,pbld2,510.0
esr1,selenop,671.0
esr1,rps27l,582.0
esr1,hspe1,639.0
esr1,mcm4,681.0
