Gene1,Gene2,Score
cbfb,lcp1,1162.0
cbfb,xab2,1094.0
cbfb,enpp4,832.0
cbfb,cyb5r3,1127.0
cbfb,ube2g2,1351.0
cbfb,crk,818.0
cbfb,sacm1l,797.0
cbfb,fgfr1op,851.0
cbfb,elac2,1091.0
cbfb,vps33b,793.0
cbfb,ckap5,972.0
cbfb,zfp62,708.0
cbfb,pde4b,1064.0
cbfb,wdr75,1295.0
cbfb,mbtps1,647.0
cbfb,clcn4,820.0
cbfb,wdr45b,799.0
cbfb,fnta,788.0
cbfb,bclaf3,849.0
cbfb,ifrd2,911.0
cbfb,gpr171,1237.0
cbfb,ezr,792.0
cbfb,zfp24,754.0
cbfb,tbcd,1382.0
cbfb,gypa,1957.0
cbfb,phax,1001.0
cbfb,ift140,768.0
cbfb,st8sia4,866.0
cbfb,atl2,754.0
cbfb,isg20,638.0
cbfb,kif11,1030.0
cbfb,aurka,1297.0
cbfb,cnot7,601.0
cbfb,ptdss1,1004.0
cbfb,chp1,862.0
cbfb,atg4b,836.0
cbfb,ahcyl1,917.0
cbfb,wdsub1,849.0
cbfb,zfp397,1386.0
cbfb,ubr1,906.0
cbfb,rad21,630.0
cbfb,lancl2,1086.0
cbfb,ipo9,675.0
cbfb,haus2,1155.0
cbfb,adk,975.0
cbfb,mcm4,1102.0
cbfb,cep70,676.0
cbfb,nol9,885.0
cbfb,bap1,827.0
cbfb,arhgap15,1121.0
cbfb,stat3,955.0
cbfb,prmt7,731.0
cbfb,nolc1,1293.0
cbfb,hars2,1564.0
cbfb,hars,1564.0
cbfb,rnf139,678.0
cbfb,fastkd2,1275.0
cbfb,coa5,889.0
cbfb,thumpd3,1543.0
cbfb,mogs,538.0
cbfb,cdca3,1062.0
cbfb,cnot10,1142.0
cbfb,slc31a1,672.0
cbfb,mars,976.0
cbfb,tfrc,673.0
cbfb,uros,1198.0
cbfb,ptcd3,1126.0
cbfb,nudcd1,861.0
cbfb,mgst3,698.0
cbfb,rfc4,730.0
cbfb,tcf12,765.0
cbfb,fam45a,753.0
cbfb,cdca8,1054.0
cbfb,ncaph,673.0
cbfb,eftud2,887.0
cbfb,d10wsu102e,933.0
cbfb,ubr7,901.0
cbfb,cdca4,766.0
cbfb,ppox,719.0
cbfb,elp3,675.0
cbfb,fam168b,568.0
cbfb,memo1,711.0
cbfb,rnf145,778.0
cbfb,cops8,788.0
cbfb,abtb1,867.0
cbfb,vkorc1l1,750.0
cbfb,galk2,942.0
cbfb,dusp1,581.0
cbfb,adamts10,728.0
cbfb,tbl3,837.0
cbfb,sptbn1,811.0
cbfb,itsn1,727.0
cbfb,zyx,705.0
cbfb,cenpo,844.0
cbfb,vps33a,1053.0
cbfb,pacsin2,596.0
cbfb,ndc1,1136.0
cbfb,hacd3,1012.0
cbfb,crbn,679.0
cbfb,uap1,808.0
cbfb,cbfb,736.0
cbfb,vim,588.0
cbfb,fam136a,801.0
cbfb,eif2b1,863.0
cbfb,mtrex,905.0
cbfb,dok2,844.0
cbfb,zfp655,641.0
cbfb,ccne2,1470.0
cbfb,pld3,791.0
cbfb,necap2,972.0
cbfb,plin3,553.0
cbfb,farsb,1049.0
cbfb,nfkbia,555.0
cbfb,cpox,848.0
cbfb,dennd1c,863.0
cbfb,lpcat3,749.0
cbfb,ilvbl,559.0
cbfb,kpna3,679.0
cbfb,rrm1,796.0
cbfb,sdhaf2,705.0
cbfb,cul4a,770.0
cbfb,minpp1,642.0
cbfb,ice1,970.0
cbfb,herc4,512.0
cbfb,usp37,1327.0
cbfb,abcb8,572.0
cbfb,ncapd2,668.0
cbfb,asah1,670.0
cbfb,nubp2,933.0
cbfb,d1ertd622e,765.0
cbfb,foxred1,743.0
cbfb,cks1b,981.0
cbfb,scfd1,1047.0
cbfb,p2ry14,801.0
cbfb,alkbh8,904.0
cbfb,psmd9,841.0
cbfb,rars,794.0
cbfb,ubash3a,815.0
cbfb,bysl,806.0
cbfb,tmem68,932.0
cbfb,timm50,745.0
cbfb,zdhhc13,697.0
cbfb,tubgcp2,643.0
cbfb,abi1,589.0
cbfb,pstpip1,932.0
cbfb,tspan3,798.0
cbfb,nup155,537.0
cbfb,sgo1,784.0
cbfb,march5,727.0
cbfb,pbk,761.0
cbfb,smc2,880.0
cbfb,psmd6,766.0
cbfb,wdr73,647.0
cbfb,nek9,1011.0
cbfb,cpt2,876.0
cbfb,cast,619.0
cbfb,nsmaf,744.0
cbfb,cyp20a1,636.0
cbfb,med22,515.0
cbfb,e2f8,644.0
cbfb,tpx2,841.0
cbfb,dck,574.0
cbfb,fos,706.0
cbfb,tspan14,658.0
cbfb,picalm,606.0
cbfb,polr1b,800.0
cbfb,abcb4,638.0
cbfb,shcbp1,708.0
cbfb,ppp6c,852.0
cbfb,mfsd1,1130.0
cbfb,pacs1,665.0
cbfb,ubxn2b,635.0
cbfb,zfp35,688.0
cbfb,fkbp1a,614.0
cbfb,ctse,556.0
cbfb,itih5,933.0
cbfb,trmt6,1107.0
cbfb,p2rx4,878.0
cbfb,faap100,821.0
cbfb,vps35,654.0
cbfb,orc6,654.0
cbfb,cish,576.0
cbfb,mfn2,925.0
cbfb,mad2l1,658.0
cbfb,dpp8,923.0
cbfb,ncapg2,722.0
cbfb,nup93,807.0
cbfb,anxa5,943.0
cbfb,gtf2f1,860.0
cbfb,atp13a1,690.0
cbfb,mau2,790.0
cbfb,wdr4,1221.0
cbfb,rmnd5a,552.0
cbfb,lap3,770.0
cbfb,oasl2,859.0
cbfb,smim5,1367.0
cbfb,rgcc,597.0
cbfb,lrrc8c,581.0
cbfb,dcaf11,689.0
cbfb,optn,829.0
cbfb,slc20a1,656.0
cbfb,fzr1,610.0
cbfb,rpa2,694.0
cbfb,crip2,970.0
cbfb,aar2,842.0
cbfb,nup85,743.0
cbfb,4833439l19rik,519.0
cbfb,cenpk,771.0
cbfb,zfp367,637.0
cbfb,golt1b,765.0
cbfb,hsph1,907.0
cbfb,me2,801.0
cbfb,dram2,494.0
cbfb,cept1,494.0
cbfb,tmem186,686.0
cbfb,rfesd,691.0
cbfb,smad2,645.0
cbfb,pik3c3,696.0
cbfb,exoc3,680.0
cbfb,ap1b1,747.0
cbfb,klf1,827.0
cbfb,tmx1,488.0
cbfb,exoc2,468.0
cbfb,arl8b,754.0
cbfb,zfp322a,694.0
cbfb,sppl2a,602.0
cbfb,narfl,486.0
cbfb,slc18a2,369.0
cbfb,fpgs,597.0
cbfb,cnih1,557.0
cbfb,nup107,709.0
cbfb,cacfd1,649.0
cbfb,acaa2,596.0
cbfb,rcc1,926.0
cbfb,wdhd1,676.0
cbfb,aurkb,462.0
cbfb,ldah,752.0
cbfb,lonp1,694.0
cbfb,pqlc1,628.0
cbfb,topors,734.0
cbfb,steap3,584.0
cbfb,mrm1,867.0
cbfb,ccna2,986.0
cbfb,hnrnpll,428.0
cbfb,tars,547.0
cbfb,zfp110,734.0
cbfb,lyrm4,790.0
cbfb,kif20b,813.0
cbfb,fbxo5,865.0
cbfb,etf1,641.0
cbfb,atg12,698.0
cbfb,odc1,600.0
cbfb,copb1,752.0
cbfb,ftsj3,1179.0
cbfb,ado,670.0
cbfb,slc25a38,680.0
cbfb,ncln,820.0
cbfb,golph3,453.0
cbfb,pitrm1,542.0
cbfb,anapc4,574.0
cbfb,stxbp4,627.0
cbfb,tmem168,689.0
cbfb,mthfd1,693.0
cbfb,gyg,599.0
cbfb,cenpa,721.0
cbfb,ranbp3,559.0
cbfb,btrc,555.0
cbfb,plaa,788.0
cbfb,xrcc5,721.0
cbfb,cdt1,601.0
cbfb,stap1,660.0
cbfb,dnajc5,570.0
cbfb,trim30a,639.0
cbfb,nit1,651.0
cbfb,klhl24,697.0
cbfb,arhgef6,716.0
cbfb,hus1,551.0
cbfb,dock2,599.0
cbfb,irf1,465.0
cbfb,2610301b20rik,554.0
cbfb,mcm3,573.0
cbfb,myo1d,396.0
cbfb,sesn1,418.0
cbfb,coq8a,491.0
cbfb,cdk19,474.0
cbfb,poglut1,466.0
cbfb,zfp451,604.0
cbfb,rnf13,479.0
cbfb,nasp,665.0
cbfb,cd1d1,752.0
cbfb,uhrf1,837.0
cbfb,slc19a1,524.0
cbfb,snapc3,603.0
cbfb,cog6,780.0
cbfb,nedd1,595.0
cbfb,rcsd1,963.0
cbfb,cog7,700.0
cbfb,prelid3b,563.0
cbfb,gfm1,707.0
cbfb,hsdl1,604.0
cbfb,ccnf,587.0
cbfb,arhgap4,768.0
cbfb,jpt2,678.0
cbfb,dis3l2,644.0
cbfb,zfp961,644.0
cbfb,urod,592.0
cbfb,ctnna1,550.0
cbfb,rmnd5b,476.0
cbfb,gstm1,471.0
cbfb,tvp23b,691.0
cbfb,ckap2l,619.0
cbfb,nae1,520.0
cbfb,mrpl37,642.0
cbfb,xk,470.0
cbfb,mtap,789.0
cbfb,ptdss2,461.0
cbfb,chmp3,742.0
cbfb,ldhb,638.0
cbfb,psmd5,596.0
cbfb,mcm5,607.0
cbfb,ncapg,653.0
cbfb,mycn,555.0
cbfb,sept6,569.0
cbfb,pip4k2a,379.0
cbfb,mt2,1516.0
cbfb,lig1,646.0
cbfb,gskip,525.0
cbfb,gmcl1,368.0
cbfb,aplp2,452.0
cbfb,alg9,490.0
cbfb,b230219d22rik,476.0
cbfb,il21r,531.0
cbfb,slc30a5,767.0
cbfb,naa50,575.0
cbfb,fech,553.0
cbfb,atp6v1a,575.0
cbfb,ppil4,534.0
cbfb,plk1,812.0
cbfb,fbxw5,715.0
cbfb,dhfr,642.0
cbfb,acox1,446.0
cbfb,hagh,552.0
cbfb,aldh18a1,651.0
cbfb,tbc1d15,551.0
cbfb,spc25,566.0
cbfb,elp2,460.0
cbfb,casp3,575.0
cbfb,cyth4,496.0
cbfb,vav1,405.0
cbfb,mettl8,587.0
cbfb,rhof,462.0
cbfb,capn7,603.0
cbfb,zkscan3,533.0
cbfb,asb8,602.0
cbfb,arap1,623.0
cbfb,smim15,570.0
cbfb,oat,407.0
cbfb,stt3b,462.0
cbfb,kidins220,518.0
cbfb,nusap1,790.0
cbfb,mki67,700.0
cbfb,rasa3,561.0
cbfb,bub1b,776.0
cbfb,il27ra,459.0
cbfb,wdr6,432.0
cbfb,ttll12,504.0
cbfb,dlst,481.0
cbfb,tmem64,458.0
cbfb,psen2,659.0
cbfb,rrm2,490.0
cbfb,nadk,594.0
cbfb,gemin5,455.0
cbfb,dph2,582.0
cbfb,ints8,635.0
cbfb,zfp871,564.0
cbfb,uba7,404.0
cbfb,lrrc14,560.0
cbfb,hmmr,604.0
cbfb,champ1,425.0
cbfb,pigq,494.0
cbfb,metap1d,612.0
cbfb,ctla2a,521.0
cbfb,uap1l1,416.0
cbfb,mapk9,553.0
cbfb,prim2,557.0
cbfb,polr2b,410.0
cbfb,sqle,422.0
cbfb,mto1,415.0
cbfb,usp4,585.0
cbfb,usp10,765.0
cbfb,fads1,623.0
cbfb,xpr1,574.0
cbfb,ssx2ip,508.0
cbfb,lcp2,432.0
cbfb,chuk,406.0
cbfb,btaf1,554.0
cbfb,tm7sf3,460.0
cbfb,ipo4,715.0
cbfb,abcd3,519.0
cbfb,tfg,511.0
cbfb,rabif,709.0
cbfb,ctsc,510.0
cbfb,usp8,630.0
cbfb,ckap2,525.0
cbfb,orc2,547.0
cbfb,lsp1,450.0
cbfb,aldh9a1,408.0
cbfb,tmub2,568.0
cbfb,sec23ip,390.0
cbfb,sptlc1,564.0
cbfb,nploc4,535.0
cbfb,rgs2,533.0
cbfb,ddx1,420.0
cbfb,rfc5,497.0
cbfb,leprot,462.0
cbfb,tbc1d10c,461.0
cbfb,slc25a46,445.0
cbfb,tubgcp3,560.0
cbfb,lztr1,540.0
cbfb,sgta,633.0
cbfb,tmem164,283.0
cbfb,rgs19,637.0
cbfb,nudt19,605.0
cbfb,slc16a1,397.0
cbfb,cdc20,680.0
cbfb,cdc7,513.0
cbfb,spc24,668.0
cbfb,asf1b,513.0
cbfb,lrrfip1,508.0
cbfb,rpp40,500.0
cbfb,wdr55,496.0
cbfb,rgs1,399.0
cbfb,psat1,652.0
cbfb,rab37,800.0
cbfb,tmem97,456.0
cbfb,stard10,489.0
cbfb,pdcl,507.0
cbfb,atp6ap2,385.0
cbfb,ak3,599.0
cbfb,cd48,504.0
cbfb,ubap1,410.0
cbfb,gpr180,352.0
cbfb,uckl1,572.0
cbfb,net1,551.0
cbfb,bc005561,415.0
cbfb,ostm1,674.0
cbfb,ndel1,429.0
cbfb,ube2c,570.0
cbfb,skap2,468.0
cbfb,cers5,555.0
cbfb,trim59,380.0
cbfb,cd55,315.0
cbfb,tnfaip2,491.0
cbfb,ints13,455.0
cbfb,gclc,301.0
cbfb,top2a,614.0
cbfb,abl1,319.0
cbfb,itfg1,456.0
cbfb,klhl6,419.0
cbfb,rad51,494.0
cbfb,march6,500.0
cbfb,tmem173,462.0
cbfb,apeh,442.0
cbfb,afg3l2,561.0
cbfb,atp1b2,363.0
cbfb,endod1,450.0
cbfb,prkar2b,515.0
cbfb,prc1,486.0
cbfb,ybx3,356.0
cbfb,prpf4,351.0
cbfb,psen1,421.0
cbfb,mavs,448.0
cbfb,cyth3,504.0
cbfb,pon2,532.0
cbfb,narf,474.0
cbfb,qars,514.0
cbfb,nptn,387.0
cbfb,zfp592,343.0
cbfb,trib2,424.0
cbfb,cpq,450.0
cbfb,utp4,402.0
cbfb,gnpda1,386.0
cbfb,vps41,490.0
cbfb,dennd2d,301.0
cbfb,jak3,452.0
cbfb,pqlc3,366.0
cbfb,tmem206,438.0
cbfb,slc44a2,485.0
cbfb,sppl2b,475.0
cbfb,ccdc137,646.0
cbfb,txnrd2,419.0
cbfb,tlk1,279.0
cbfb,cnp,585.0
cbfb,ctso,567.0
cbfb,nup88,435.0
cbfb,tmem109,465.0
cbfb,pot1a,404.0
cbfb,prep,544.0
cbfb,gorasp1,545.0
cbfb,tollip,454.0
cbfb,2210016f16rik,533.0
cbfb,mettl27,499.0
cbfb,gimap5,426.0
cbfb,tcirg1,359.0
cbfb,ganab,532.0
cbfb,tango2,394.0
cbfb,tipin,442.0
cbfb,sun1,424.0
cbfb,iars2,443.0
cbfb,terf2ip,627.0
cbfb,g6pdx,491.0
cbfb,erlin1,461.0
cbfb,gna13,425.0
cbfb,zfp266,477.0
cbfb,sept8,294.0
cbfb,e2f4,343.0
cbfb,tmc6,497.0
cbfb,tspan33,318.0
cbfb,zfp639,334.0
cbfb,twsg1,359.0
cbfb,l2hgdh,295.0
cbfb,ell2,308.0
cbfb,gmnn,490.0
cbfb,vps11,468.0
cbfb,gmpr,455.0
cbfb,sgpp1,315.0
cbfb,edc3,333.0
cbfb,usp25,331.0
cbfb,cers4,308.0
cbfb,epsti1,402.0
cbfb,ltb,350.0
cbfb,zkscan17,383.0
cbfb,plxnc1,390.0
cbfb,ercc8,412.0
cbfb,cad,464.0
cbfb,mt1,922.0
cbfb,ces2g,455.0
cbfb,ndrg1,364.0
cbfb,epor,563.0
cbfb,rpa1,311.0
cbfb,mpl,469.0
cbfb,blvrb,376.0
cbfb,mcm2,326.0
cbfb,atad1,412.0
cbfb,dcaf4,480.0
cbfb,abcf3,356.0
cbfb,cyb5r1,417.0
cbfb,e2f6,418.0
cbfb,st6galnac4,391.0
cbfb,ccnb1,654.0
cbfb,tpp1,348.0
cbfb,sphk1,481.0
cbfb,flot2,260.0
cbfb,ppm1h,356.0
cbfb,sla,443.0
cbfb,mettl7a1,381.0
cbfb,knstrn,502.0
cbfb,yod1,265.0
cbfb,adssl1,293.0
cbfb,tmem176b,567.0
cbfb,tmem176a,567.0
cbfb,car1,541.0
cbfb,gfi1b,401.0
cbfb,gimap6,395.0
cbfb,tyms,341.0
cbfb,ccne1,341.0
cbfb,ccnb2,573.0
cbfb,pwp1,549.0
cbfb,isyna1,408.0
cbfb,myh10,309.0
cbfb,hexa,429.0
cbfb,itga6,392.0
cbfb,stom,306.0
cbfb,d230025d16rik,448.0
cbfb,xpnpep1,310.0
cbfb,hlf,260.0
cbfb,slc30a6,321.0
cbfb,jun,400.0
cbfb,mapkapk3,289.0
cbfb,cln5,527.0
cbfb,mns1,366.0
cbfb,umps,421.0
cbfb,rdh11,283.0
cbfb,aqp9,404.0
cbfb,slc6a6,262.0
cbfb,sqor,356.0
cbfb,mfsd2b,741.0
cbfb,mtfr1,378.0
cbfb,nde1,294.0
cbfb,gsr,331.0
cbfb,sp100,367.0
cbfb,tubgcp5,319.0
cbfb,lmna,474.0
cbfb,bid,433.0
cbfb,rnasel,333.0
cbfb,fam91a1,389.0
cbfb,pitpnb,320.0
cbfb,tbc1d2b,263.0
cbfb,uba3,227.0
cbfb,hpn,300.0
cbfb,nampt,366.0
cbfb,laptm4b,357.0
cbfb,stx12,270.0
cbfb,hpcal1,391.0
cbfb,pus7,428.0
cbfb,gimap1,334.0
cbfb,mfng,264.0
cbfb,pdk3,354.0
cbfb,unc93b1,198.0
cbfb,cdc6,455.0
cbfb,zfp945,293.0
cbfb,pcyt2,451.0
cbfb,iars,439.0
cbfb,tmx3,389.0
cbfb,ugcg,268.0
cbfb,gusb,332.0
cbfb,spryd4,503.0
cbfb,ftsj1,391.0
cbfb,ap1g2,295.0
cbfb,ampd3,229.0
cbfb,slc29a1,451.0
cbfb,glipr2,286.0
cbfb,hells,347.0
cbfb,plbd2,225.0
cbfb,phf10,241.0
cbfb,bmi1,265.0
cbfb,coro1a,266.0
cbfb,tapt1,303.0
cbfb,prps1,286.0
cbfb,bag2,247.0
cbfb,ppp2r1b,251.0
cbfb,taf12,264.0
cbfb,ccng1,320.0
cbfb,tmem263,315.0
cbfb,mfsd14b,297.0
cbfb,idh3a,341.0
cbfb,inpp5b,253.0
cbfb,stxbp1,257.0
cbfb,pgm1,235.0
cbfb,elmo1,221.0
cbfb,gstm5,297.0
cbfb,lpcat1,338.0
cbfb,trmt11,215.0
cbfb,slc11a2,265.0
cbfb,ankle1,494.0
cbfb,golm1,262.0
cbfb,zfp930,244.0
cbfb,map4k2,213.0
cbfb,hacd4,450.0
cbfb,mfge8,325.0
cbfb,elovl1,289.0
cbfb,gcnt2,419.0
cbfb,tmem185a,326.0
cbfb,kif22,331.0
cbfb,cd82,192.0
cbfb,padi4,289.0
cbfb,cttn,226.0
cbfb,ext2,227.0
cbfb,anxa6,252.0
cbfb,cytip,166.0
cbfb,ddx58,299.0
cbfb,plcb2,340.0
cbfb,slc40a1,283.0
cbfb,slc25a21,219.0
cbfb,slc25a45,208.0
cbfb,tmem56,196.0
cbfb,ankrd27,231.0
cbfb,naga,227.0
cbfb,fuca2,245.0
cbfb,st3gal5,321.0
cbfb,fam234b,286.0
cbfb,klhl22,242.0
cbfb,nudt4,248.0
cbfb,atp6ap1,212.0
cbfb,snca,308.0
cbfb,alad,243.0
cbfb,kel,277.0
cbfb,slc43a3,127.0
cbfb,angpt1,210.0
cbfb,abcg2,277.0
cbfb,tk1,160.0
cbfb,plin2,256.0
cbfb,slc41a3,215.0
cbfb,emb,149.0
cbfb,gramd1a,130.0
cbfb,csad,212.0
cbfb,nsdhl,222.0
cbfb,scarb1,171.0
cbfb,pclaf,248.0
cbfb,pak1,162.0
cbfb,pear1,205.0
cbfb,calcrl,209.0
cbfb,phactr2,196.0
cbfb,pla2g12a,242.0
cbfb,gbp2,199.0
cbfb,h1f0,218.0
cbfb,tcn2,182.0
cbfb,cd84,205.0
cbfb,myo1g,173.0
cbfb,rtp4,170.0
cbfb,prps2,203.0
cbfb,wls,175.0
cbfb,ctla2b,171.0
cbfb,add2,197.0
cbfb,napsa,179.0
cbfb,myl10,188.0
cbfb,grn,157.0
cbfb,ank,180.0
cbfb,man2a2,175.0
cbfb,pik3ip1,102.0
cbfb,inka1,151.0
cbfb,rab32,186.0
cbfb,ubl4a,195.0
cbfb,ikzf2,184.0
cbfb,st3gal6,152.0
cbfb,rnf213,173.0
cbfb,apoe,138.0
cbfb,klhl23,153.0
cbfb,prim1,260.0
cbfb,cited4,163.0
cbfb,tspo2,254.0
cbfb,mndal,130.0
cbfb,decr1,155.0
cbfb,asns,162.0
cbfb,ifi203,150.0
cbfb,elf4,161.0
cbfb,abcb10,171.0
cbfb,anxa4,163.0
cbfb,smim1,156.0
cbfb,ermap,228.0
cbfb,emilin1,157.0
cbfb,tor3a,142.0
cbfb,snx10,126.0
cbfb,ppic,204.0
cbfb,plcg2,115.0
cbfb,nxpe2,201.0
cbfb,neurl3,193.0
cbfb,scarf1,179.0
cbfb,gnb4,172.0
cbfb,zfp36,151.0
cbfb,ptgs1,150.0
cbfb,hsd3b7,149.0
cbfb,gng11,144.0
cbfb,ifi30,143.0
cbfb,hebp1,139.0
cbfb,cpt1a,135.0
cbfb,sigirr,133.0
cbfb,myct1,124.0
cbfb,plek,121.0
cbfb,mctp1,121.0
cbfb,cd9,121.0
cbfb,anxa1,112.0
cbfb,tifa,108.0
cbfb,rnase6,107.0
cbfb,grina,104.0
elf4,ap1g2,3514.0
elf4,vps33b,2828.0
elf4,ldah,3166.0
elf4,nubp2,3112.0
elf4,vps41,2859.0
elf4,xab2,2881.0
elf4,nuf2,2654.0
elf4,pno1,3050.0
elf4,gtf2f1,2707.0
elf4,elac2,2670.0
elf4,skap2,2414.0
elf4,incenp,2369.0
elf4,pik3r2,2449.0
elf4,necap2,2218.0
elf4,aurka,2730.0
elf4,cenpo,2056.0
elf4,usp8,2481.0
elf4,pik3c3,2563.0
elf4,wdr73,2794.0
elf4,dcaf13,2237.0
elf4,ankrd27,2661.0
elf4,oasl2,3066.0
elf4,tfg,2722.0
elf4,cks1b,2168.0
elf4,rangap1,2455.0
elf4,cnot10,1969.0
elf4,tmem186,2114.0
elf4,ppp6c,2359.0
elf4,hsph1,1983.0
elf4,acox1,2354.0
elf4,cdca3,2042.0
elf4,naa35,2244.0
elf4,mad2l1,2240.0
elf4,wdr75,2133.0
elf4,tmem129,2158.0
elf4,tacc3,2158.0
elf4,chordc1,1945.0
elf4,clcn4,2202.0
elf4,dph2,1968.0
elf4,gtf2h1,3018.0
elf4,trmt6,3126.0
elf4,sec23ip,2176.0
elf4,nudcd3,2204.0
elf4,itsn1,2007.0
elf4,sdhaf2,1943.0
elf4,leprot,1921.0
elf4,tmub2,1843.0
elf4,idh3a,1993.0
elf4,nup107,2353.0
elf4,rpa2,2106.0
elf4,uckl1,1787.0
